Season,Matchday,Date,Home_Team,Away_Team,Score,Attendance,Home_Goals,Away_Goals,Target,Home_Team_Points,Away_Team_Points,Home_Form_5,Away_Form_5,Home_Rank,Away_Rank
2010,14,2010-12-11,Maccabi Netanya,Hapoel Beer Sheva,1:0,0,1.0,0.0,0,16,20,1,11,11,6
2010,14,2010-12-11,Hapoel Ashkelon,Ihud Bnei Sakhnin,1:0,0,1.0,0.0,0,10,8,0,6,13,15
2010,14,2010-12-11,Hapoel Haifa,FC Ashdod,2:0,0,2.0,0.0,0,19,18,8,8,8,10
2010,14,2010-12-11,Hapoel Ramat Gan,Hapoel Petah Tikva,1:1,0,1.0,1.0,1,6,9,1,6,16,14
2010,14,2010-12-11,Hapoel Acre,Beitar Jerusalem,3:0,0,3.0,0.0,0,19,15,7,10,8,12
2010,14,2010-12-13,Ironi Kiryat Shmona,Maccabi Haifa,0:1,3000,0.0,1.0,2,26,28,9,10,2,1
2010,14,2010-12-15,Bnei Yehuda Tel Aviv,Hapoel Tel Aviv,0:1,0,0.0,1.0,2,17,26,6,10,11,4
2010,15,2010-12-18,Maccabi Haifa,Maccabi Netanya,3:0,7000,3.0,0.0,0,31,19,13,4,1,9
2010,15,2010-12-18,Maccabi Petah Tikva,Bnei Yehuda Tel Aviv,3:0,0,3.0,0.0,0,22,17,9,5,7,11
2010,15,2010-12-18,Ihud Bnei Sakhnin,Hapoel Acre,0:1,0,0.0,1.0,2,8,22,6,7,15,6
2010,15,2010-12-18,FC Ashdod,Hapoel Ashkelon,3:2,0,3.0,2.0,0,18,13,5,3,10,13
2010,15,2010-12-18,Hapoel Tel Aviv,Hapoel Ramat Gan,4:0,0,4.0,0.0,0,29,7,10,2,2,16
2010,15,2010-12-18,Beitar Jerusalem,Ironi Kiryat Shmona,1:0,0,1.0,0.0,0,15,26,10,8,12,3
2010,15,2010-12-19,Hapoel Petah Tikva,Hapoel Haifa,2:0,0,2.0,0.0,0,10,22,4,8,14,7
2010,15,2010-12-20,Hapoel Beer Sheva,Maccabi Tel Aviv,0:1,0,0.0,1.0,2,20,26,8,7,9,4
2010,16,2011-01-01,Hapoel Tel Aviv,Hapoel Haifa,5:0,0,5.0,0.0,0,32,22,12,7,2,7
2010,16,2011-01-01,Hapoel Beer Sheva,Maccabi Petah Tikva,2:1,0,2.0,1.0,0,20,25,7,9,9,6
2010,16,2011-01-01,Hapoel Ramat Gan,Bnei Yehuda Tel Aviv,1:1,0,1.0,1.0,1,7,17,2,4,16,12
2010,16,2011-01-01,FC Ashdod,Hapoel Acre,3:1,0,3.0,1.0,0,21,25,7,7,9,5
2010,16,2011-01-01,Ihud Bnei Sakhnin,Ironi Kiryat Shmona,1:0,0,1.0,0.0,0,8,26,3,5,15,4
2010,16,2011-01-01,Beitar Jerusalem,Maccabi Netanya,0:0,0,0.0,0.0,1,18,19,12,4,11,10
2010,16,2011-01-02,Hapoel Petah Tikva,Hapoel Ashkelon,0:2,0,0.0,2.0,2,13,13,7,3,14,13
2010,16,2011-01-03,Maccabi Haifa,Maccabi Tel Aviv,3:0,14000,3.0,0.0,0,34,29,13,10,2,3
